EXPORT DATE,HSN CODE,DESCRIPTION,EXPORTER NAME,EXPORTER ADDRESS,EXPORTER PIN,EXPORTER CITY,EXPORTER STATE,EXPORTER PHONE,EXPORTER EMAIL,IMPORTER NAME,Importer_Address,IMPORTER COUNTRY,UNIT,QUANTITY,CURRENCY,UNIT RATE,FOB INV VALUE,FOB IN USD,IMPORT PORT,EXPORT PORT,SHIPPING BILLNO
22/11/2025,20081100,Peanut Butter (283g),SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,Nathan Foods Corporation,nan,PANAMA,KGS,5434.0,USD,2.26165,12289.81,11604.45,Manzanillo,MUNDRA SEA,7219894
22/11/2025,20081100,Peanut Butter (510g),SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,Nathan Foods Corporation,nan,PANAMA,KGS,4896.0,USD,2.01489,9864.9,9314.77,Manzanillo,MUNDRA SEA,7219894
21/11/2025,20081100,PEANUT BUTTER LOT NO. 2511598T PEANUT BU TTER - CREAMY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,M H ENTERPRISES LLC,"P.O. Box 5771, Al Quoz Industrial Area #3, Dubai, UAE",UNITED ARAB EMIRATES,KGS,11444.4,USD,2.08333,23842.46,23705.97,Jebel Ali,MUNDRA SEA,7195902
21/11/2025,20081100,PEANUT BUTTER LOT NO. 2511598T PEANUT BU TTER - CREAMY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,M H ENTERPRISES LLC,"P.O. Box 5771, Al Quoz Industrial Area #3, Dubai, UAE",UNITED ARAB EMIRATES,KGS,6609.6,USD,2.04248,13499.98,13422.7,Jebel Ali,MUNDRA SEA,7195902
21/11/2025,20081100,PEANUT BUTTER LOT NO. 2511598T PEANUT BU TTER - CRUNCHY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,M H ENTERPRISES LLC,"P.O. Box 5771, Al Quoz Industrial Area #3, Dubai, UAE",UNITED ARAB EMIRATES,KGS,4406.4,USD,2.04248,8999.98,8948.46,Jebel Ali,MUNDRA SEA,7195902
20/11/2025,20081100,Peanut Butter 500g,SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,WORLDWIDE DISTRIBUTORS,nan,CANADA,KGS,18000.0,USD,2.105,37890.0,33882.0,Toronto,MUNDRA SEA,7150899
20/11/2025,20081100,Peanut Butter 500g,SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,WORLDWIDE DISTRIBUTORS,nan,CANADA,KGS,18000.0,USD,2.105,37890.0,33882.0,Toronto,MUNDRA SEA,7156241
19/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,LIBYAN ARAB REPUBLIC,KGS,15585.6,USD,1.91176,29795.93,28455.93,Bingazi (Benghazi),MUNDRA SEA,7125056
19/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOUTH AFRICA,KGS,127050.0,USD,1.0,127050.0,121850.0,Durban,MUNDRA SEA,7108242
18/11/2025,20081100,PEANUT BUTTER LOT NO. 2511597M PEANUT BU TTER - SMOOTH,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,COTRADING S.L,nan,SPAIN,KGS,15360.0,USD,2.11458,32479.95,32479.95,Barcelona,MUNDRA SEA,7073950
